ITEMS_FED,Q1_IND,Q1_RUNOUT,Q1_OTH,Q2_IND,Q2_RUNOUT,Q2_OTH,Q3_IND,Q3_RUNOUT,Q3_OTH,Q4_IND,Q4_RUNOUT,Q4_OTH,TUN_RR,ITEMS_SORTED
19297,7,15,12,8,17,16,8,16,16,8,19,14,98.29,18429
22839,8,19,14,8,19,14,8,19,14,8,17,16,97.7,22601
22245,7,17,12,8,17,14,8,17,14,2,20,17,97.49,20070
17467,5,13,3,8,17,12,7,17,13,7,17,15,98.09,15779
20018,6,16,12,7,18,12,6,18,14,3,20,13,97.91,17202
21005,5,16,13,8,20,15,8,17,12,8,20,10,98.69,20195
21532,8,19,14,8,19,18,8,19,15,8,21,17,97.8,20816
21262,8,18,15,8,19,15,8,19,14,8,19,9,98.24,19845
21516,8,19,6,8,18,14,8,18,14,8,18,16,97.9,20508
18606,8,19,12,8,18,14,8,18,15,8,18,13,98.37,19966
15443,4,13,4,4,17,19,8,17,14,8,18,14,98.1,15797
21116,6,29,8,7,18,16,7,18,16,8,17,16,96.71,19790
15540,0,0,12,8,17,14,8,18,15,8,18,15,98.15,15866
18214,0,0,15,7,16,7,8,16,7,8,16,11,97.85,16979
23272,8,19,12,8,19,16,8,20,16,8,20,16,98.01,23041
13953,0,0,12,7,16,11,7,16,11,7,16,10,97.97,14632
22852,8,19,4,8,20,9,8,20,8,8,19,4,97.87,19609
22010,8,19,15,8,19,15,8,18,12,8,18,12,97.29,21987
15385,0,0,8,7,16,5,7,16,5,8,16,5,98.28,14928
24796,8,19,9,8,19,14,8,19,14,8,19,14,97.62,21659
23249,7,18,18,8,19,16,8,18,13,8,20,0,97.96,22562
15664,0,0,7,7,13,9,6,15,8,7,13,9,97.75,15181
23164,7,20,17,8,20,18,8,20,14,9,20,14,96.62,20574
23036,7,19,11,8,20,13,8,20,15,8,20,12,96.39,20903
14541,0,0,10,6,12,12,7,16,8,7,15,9,96.68,13993
22169,8,19,10,7,20,15,8,19,15,8,19,16,97.57,21239
21553,7,17,17,7,18,17,8,18,16,8,18,10,96.95,20193
26394,7,20,14,8,20,17,8,19,15,8,20,16,97.31,23458
22275,8,19,16,8,20,15,8,20,12,8,20,11,97.12,20523
16303,0,0,8,8,13,4,7,15,3,7,14,3,97.76,14119
22727,7,13,8,8,15,12,8,16,14,7,13,10,98.37,19854
25269,7,13,10,8,16,14,8,19,15,7,16,12,98.42,21459
23295,8,20,15,8,20,17,8,20,17,8,19,16,97.6,22214
24058,8,19,15,8,19,17,8,19,15,9,19,14,97.92,22379
15658,0,0,10,5,15,4,7,14,3,7,14,2,98.17,13666
22351,7,16,4,8,19,8,8,17,9,7,15,10,98.52,20474
25216,7,14,5,8,18,13,8,17,12,7,16,13,98.26,21788
24669,7,15,3,8,19,14,8,19,14,7,16,0,98.45,23056
24763,7,12,13,8,18,7,8,18,7,8,15,4,97.77,22134
16478,0,0,13,7,16,7,7,16,7,8,12,4,98.06,14325
22345,6,13,8,7,16,14,7,15,13,6,14,11,98.36,14409
23180,7,18,8,8,19,14,8,19,13,7,19,11,98.16,20297
19136,6,18,13,7,18,12,8,18,11,7,16,12,98.02,17816
13663,0,0,11,5,11,8,5,12,9,6,13,8,97.55,12547
12586,5,16,10,5,13,8,5,14,11,5,15,11,97.51,12008
20653,6,17,5,7,18,10,7,19,10,8,18,8,97.02,17908
18400,5,16,11,8,17,10,8,18,9,8,18,9,96.73,17659
10841,5,12,8,6,13,8,6,15,6,0,0,0,98.21,9799
21701,6,19,13,7,18,14,7,19,13,8,19,8,94.06,19460
29138,6,18,8,6,18,12,6,18,12,6,18,11,97.99,23069
28703,6,17,8,6,18,12,6,18,8,6,18,9,97.21,22760
27249,6,18,3,6,18,9,6,18,9,6,18,3,97.83,22331
22408,6,16,13,6,17,14,5,18,12,6,17,13,98.01,15073
23953,8,13,11,8,16,15,8,14,13,7,14,11,98,19899
25256,8,16,13,5,16,12,8,15,16,8,15,12,97.62,20787
6974,6,20,13,6,20,10,2,18,15,2,18,4,98.66,5350
2816,5,17,13,16,5,10,0,0,0,0,0,0,98.61,2659
25009,6,20,4,6,20,8,6,20,9,6,20,6,97.97,21393
22565,6,20,2,6,20,8,6,20,7,6,20,5,98.25,18357
19249,6,20,6,6,20,10,6,20,7,6,20,7,97.86,16324
